Model 1,,Model 2,,Model 3,
X,Y,X,Y,X,Y
0.200341843820103,0.003567358460975889,0.2883295944165498,-0.008578807046891734,0.42622084535127946,0.06294861205499536
0.20822134387351632,-0.005879659156254546,0.29226934444325625,-0.004530085210935897,0.43147384538688827,0.07104605572690714
0.2161008439269294,-0.0121776709010748,0.2962090944699629,0.0001934235976792653,0.443293095467008,0.08589136912541206
0.2239803439803425,-0.01667625071880352,0.301899844508539,0.00671636433338596,0.44985934551151896,0.09263923885200509
0.2318598440337556,-0.01802582466412217,0.30014884449666934,0.0022177845156572396,0.4905700957874868,0.11828114381305899
0.23973934408716868,-0.015776534755257754,0.3067150945411803,0.01099001516022835,0.499762845849802,0.12232986564901493
0.2469622191361307,-0.006554446128913871,0.30540184453227814,0.0076160802969317265,0.5089555959121175,0.12367943959433347
0.2528718441761906,-0.005879659156254546,0.3119680945767891,0.01976224580479935,0.527341096036748,0.12098029170369629
0.2581248442117994,-0.014876818791712099,0.3172210946123979,0.023810967640755187,0.5365338460990634,0.11963071775837764
0.26600434426521247,-0.01802582466412217,0.32116084463910455,0.029209263422029785,0.5457265961613786,0.1155819959224218
0.27651034433643007,-0.016226392737030637,0.3264138446747131,0.03730670709394146,0.5549193462236939,0.11153327408646585
0.28438984438984316,-0.01082809695575615,0.32904034469251764,0.04135542892989741,0.5627988462771072,0.10613497830519136
0.2909560944343541,-0.005879659156254546,0.3329800947192241,0.048103298656490545,0.5693650963216181,0.09938710857859823
0.29752234447886505,0.0017679265338843564,0.339546344763735,0.05889989021903952,0.5772445963750312,0.09398881279732374
0.304088594523376,0.010315228187569025,0.34217284478153953,0.06294861205499536,0.5838108464195422,0.0872409430707306
0.3093415945589848,0.021786606722777324,0.3447993447993438,0.06834690783626984,0.5903770964640531,0.07981828637147814
0.3145945945945936,0.03190841131266697,0.3474258448171481,0.07239562967222579,0.5969433465085641,0.06969648178158849
0.3198475946302022,0.04203021590255673,0.3526788448527569,0.08184264728945612,0.603509596553075,0.064298186000314
0.32378734465690884,0.049452872601809084,0.3553053448705614,0.0872409430707306,0.6087625965886838,0.05620074232840222
0.3264138446747131,0.05620074232840222,0.3579318448883657,0.09128966490668655,0.6153288466331945,0.049452872601809084
0.3303535947014198,0.06564775994563266,0.3631848449239745,0.10208625646923553,0.6205818466688036,0.04135542892989741
0.3356065947370286,0.07914349939881893,0.3658113449417788,0.10613497830519136,0.6258348467044121,0.03325798525798562
0.339546344763735,0.0899400909613679,0.3684378449595833,0.11153327408646585,0.6324010967489233,0.02583532855873316
0.34217284478153953,0.09668796068796104,0.3736908449951919,0.12367943959433347,0.6376540967845319,0.017737884886821376
0.3447993447993438,0.10478540435987271,0.3763173450129964,0.12772816143028942,0.6442203468290426,0.008965654242250376
0.3474258448171481,0.11153327408646585,0.3789438450308007,0.1331264572115639,0.6494733468646516,-0.00048136337498005943
0.3500523448349526,0.11963071775837764,0.3841968450664095,0.14527262271943153,0.6560395969091624,-0.005879659156254546
0.3526788448527569,0.12772816143028942,0.3868233450842138,0.14932134455538743,0.6626058469536735,-0.012627528882847683
0.3553053448705614,0.13582560510220115,0.3894498451020183,0.1547196403366619,0.6691720969981843,-0.01937539860944082
0.3579318448883657,0.14527262271943153,0.3947028451376271,0.16686580584452954,0.6770515970515976,-0.024773694390715306
0.36055834490617,0.15337006639134326,0.3973293451554314,0.17091452768048543,0.6967503471851302,-0.027472842281352494
0.3631848449239745,0.16146751006325505,0.3999558451732357,0.17631282346175992,0.7059430972474456,-0.024773694390715306
0.3658113449417788,0.17091452768048543,0.4025823451910402,0.1803615452977158,0.713822597300859,-0.021399759527418682
0.3684378449595833,0.1803615452977158,0.407835345226649,0.19250771080558343,0.7217020973542718,-0.01532667677348487
